m_pub_hex,nonce_hex,hostname,emoji_1,emoji_2,emoji_3,emoji_4,emoji_5,emoji_6
02e09aa189235cdaf9ee361f0b1f85c4e5231136e2fd1015c57975d3ea4904cd8e,242af0cf82d8d069b6a34a1cc40c4a92e80585912d899fbbceb9560c41d95db9,macbook,🕄,🎣,📥,🖋,🔴,╊
028db44d4ac72d464f3745588bdda366c65f303863f1290a2579bbd1c7e0c13878,07932ef28a0378403a6576e2c1f7b6ccb6baba58b67482aa9bc9ad6273bbb422,studio,✖,⎶,🎦,◨,👞,🗾
02c6a7e684d88975a9c36ca11c6f14c2f8677ef78c3320ed9a8015f5b7b0125571,512d443ff4661f6a0b4140f3b038fbf9e144508b61cf377460e82fd68a1faa4c,linux-server,✫,🔟,🎶,⛈,🎭,⛬
0269bf67190a0d4bf68b67f28e671d4efc8bd8e063b7ba199f172c1b2a3ece28dc,0e8c40a09da08607381725b671008b4b327e86aada76e3fd2ad07569ce7e0667,ubuntu,╝,◀,🐼,⛡,⏃,➗
0223d03eff5553935c9a883634e2a86d604266849464c0810dd44c544eec097002,919929ae482068446ae70e052466c2968a2a7c2f8e3b46ac4604c74ba1c460ba,raspberry-pi,⇙,🌊,▿,⛡,📬,✼
02c30391fbad1abbbb767f55f2b48885fcf6f16900c9973561edd145b69498c34c,569aad8b95b07e34afe5cded0f6a9cae79e6aa667447f01a2cc67536c6c86ce7,nixos-box,🏈,🌥,🈲,😡,☃,✭
0281428568e1cbddc763bbaa2f778183907ebd0bca31418b29c50012d833571ba3,cebd641549f1130dcb718b7bf3c07692c4d505ea15fbb20c85ed6fc9ab489aa4,caio-mac,☀,🏎,➆,🈺,⛟,⏜
020b752a095c38850c44433cfd499730573afca60305b0e82aacef698953e97b7b,dea41f5a334f129d815ff745fe5c5e4ad03b9d052dd8f8e936b4861acf2c19ce,server-01,🕐,⛞,🎒,🔥,⇃,✊
021136049851552e372450ca2f17fcf150ace07e9151ad3a949e7f4b16e2190482,ca4d64314b75b618ec10bbb8d6633f54214d3c3f1044b0eba780cfa02aa59835,dev-machine,⌏,🐲,✸,➇,😯,🌢
020e8ab1899f440843abf6a43df65136758fb22c8acccbd750d014e5218257a448,c29fb5ed432eebe71cd631326fd0d9e4a1ff0579243f21bda256537441e8390b,home-server,⛏,⇉,🏖,🏿,♾,✀
025c818a7cdb4e848f68e7deca11bf42fb9fb04d2a3a22f396481a98f6a52bc640,5c7f81d55ae99ddbab88f822c078841a578d92bc85174466ba898530487533a7,macbook,🌧,🖹,🗷,╸,⇓,🚻
02ea173ae09d73fd97969823f7a991bdc02374f73f28f8d1630f8b41c73ae33bc8,46acbfce51dccd5e63accdd9fbf0a38f17cf4591744662a30d6f152d13af8c8f,studio,⚓,⍮,♪,┦,🌐,↱
0268815123569d67019fdee68d5d9f6d9829835484196bb3adfa60c21c376e398d,1c1af39c847365740df2085c85015ccb04b768792f9511086fb13b4dd4e2d8e8,linux-server,😸,☽,📯,⚚,╉,⍒
022c6c3f730501111ea75bb5587840e7fef950aecb38e6904b69198f8d107fc4b0,7627fc6fd18f2f733d77dd6142de50319f11b4e6eaf32ab9607d79a6a0af8693,ubuntu,❥,⚞,⚀,⏰,🚔,⍠
02f74ebb364eb37bf47cf6fcc9119ac7f066dc71e54e9c71118e832b1088b0a3de,3c5626e3234392f79bf1603996e73c75f2462aceb28a4df8ea61d7fff1aad91c,raspberry-pi,🎢,╏,⌚,✫,🌈,╅
02b9ac5e9816f90a75e9995ccd4244565930b0693c83cf7798985aae663e6cf9c3,1c15613e2c87bea0e988a62b10265ef218d5ec30a3758686c5e615c76bbf30ab,nixos-box,⌏,╳,⍽,🗽,🔷,⎿
028249c7075d2d1e74124a3f0e162a2cb3e3b7b2d94f1f3a6d8b94c574928a5332,09f8eedc7b2de2790ac88f721d0849a66ca819b7308d3355e76b6f7b38a59d6f,caio-mac,☱,🌿,⌗,🕊,🖓,🌍
0254e37f7efa3e3dd8ed6f4eb71aaec4000f14f985074fdeb222ccd237cd7f7ab8,6f49f9e93a0c442a6615570586e08b0cce94803653503f101b27f4e9f52137a0,server-01,🕕,♈,◥,➮,💢,🙁
0266c6f83df1b0476e65a755e54621118298634721b66639938c8acb07a2d53df4,06c51e821fa082ff583d05c00819ea319e1a8b8150edd3fcd79bb6040975f557,dev-machine,⚒,🎈,♥,🌗,⇂,☘
024352737cca0a424244164d946787571d8411f19a2f556fe5e9322f4eb26d4624,87d0df80f2445bbdcfe57e08bce53fea9888944ee03819c281162efde7aea070,home-server,🚢,⇂,😋,📣,🍤,🎠
02108cce9b9ff2a4406e4bdb1f14b17acfb92a8d845917acf3886968690b02f14d,c6ca56eab9c2a2f21b8dcd2073d4ab1b8d80b0b8551354f992d99d75607dff52,macbook,▛,🚁,😫,🗝,🍵,👈
02ce0ac2b5b377fbcd85b08d81baf181805f96fad7fb01b9ea22e0510b2dc764d8,1128b2aacdf60abcdce9facbb2d990948e656674f3ebd7b8b9205a29b6c940d4,studio,😒,🔩,🏉,🎨,✸,🐖
02d7e7c80ed49a8a9bdb7201b0567c5c98e7ed30a4f99389f08db7a19500661a01,ffab77da57ed887caaf3bde2f4f253bff08b1a50e5969850557dc8ba72597898,linux-server,┰,🈚,☀,🔏,⇉,💾
02569009224ff3101bdbc3c1652446e823ccfaea13abe0e2dc0bf825d6e445fbee,3ccb2b645f5a28bcd6ee9b7ec8ed493bf6646652565a7bc65894a3ed9dea9b9b,ubuntu,🏊,♰,😀,⎏,◿,😲
02edad3d20ae12f91579d34e70c9aa05b5b4b0eb8218addda606f48ebd18bfefa2,0c9182dfcb9442bb17ac83ced3de6dd00c922ac3d6d620a7890a9af44e410ab0,raspberry-pi,🗗,🌫,✚,╢,⇄,♕
02bf4bac53964096548165d7acac691eba6d3b02c5915d05d59a82edc540263628,71c6e1ccab1c576519edf3f2d840bd9752e8c9060b5a58a55c3b9d4f7a7e76a1,nixos-box,⍹,✯,◄,🍓,✐,🔯
02b8d4e3427062b68ca2f1d6b5644ce279cf6103624b51fa06ed7c5a74b821f31e,9e5ecd025a3d278b363d7a75dfa2c36ecac0f44de9b5b79d88000df3b5857f0a,caio-mac,♻,🈹,⍄,🕱,⏠,❐
024af651c7a14dcb58afcfc3d684c4ec044b06b8679e730112a8c7eda18a379a5d,303fa378e4b7eb1ef97a62c7e2286df48a6affd01d88bde6ffe3f82a693d10be,server-01,⏌,🐀,🗕,▕,🐿,❈
025e87a9148a9ab4fa06713c66ba0bd1693242080daf457f004c9caccef6e97968,a84830097cf31bc1b42586a511b47a23fbde9b19a7e07e71f79218505358c0ac,dev-machine,➳,⌾,➓,🖷,🚃,⚖
023b98639b84bb128288c672affab0ad4df2c6d7d95c56b0c0efcb72851a84bd9b,a1a17c1c6f67f7ea88a80f9a5a566238b508eff3407b9b5c6ef7897373b47401,home-server,⏤,🎒,⇚,🖇,╙,📆
02c663b6dcdafb3afbc61b820694cb66f03488b53f00501f786a51d0052aca0877,fbc3360992d95ffbf49130374a8b9aa79d3680d1d66fe554ea12af029c034c12,macbook,🍪,⛰,👹,🍷,╱,⍹
021c34ef61d1b7c79bc9567640dd1f0faa3e8cc4e79a4557b689f65d45b22bbdfa,dae8a81d7cf4cc887b2e760c5daca51d16049063a48cce607b99c61b3f96a684,studio,✋,▛,🎉,╴,✘,❽
02d4e3a8670d2899a9beb87bf852b298aff6cd338a5311c32c3661bfc71df9e699,cc4e8e155294aeccaf2415aa5a3b0c8590da43b0ff655cec25e4564f426d536f,linux-server,👢,💕,🍭,⌹,⎍,⍋
02ed444f8ed633744d052f7eadac26a89e370cfd54f5fb2fb318c35d0dab1dbd67,fd6dded6bcbc24e838eea9348a38cc606474cb5473e676c45746d462869646e4,ubuntu,⍫,💬,🍊,📄,👱,🍥
02800b2c505814d93fd8debc094313224620eac4ea29e566afed291457209a14be,22fb1dfa2ccfd2e11fc5cb4843b1051a0e413c9e83868641118949fcf341b3ac,raspberry-pi,╖,✻,⍖,▐,👁,🌭
02d67b6c6963edab3648fa3569cb4a7065e0d983624f336f11019205a36b81fa77,ce8a1dc2c3ef3285da40e3ae6899e496f4e2e1cc34915e14ca0e6e1c25608023,nixos-box,➋,⎦,⚵,🚌,┲,⎫
0286a720cda92e81ebb27ab7e3a9efd085316a050b9b956e858f68bde99ad28f44,3cf3f0c41bb6c536f65598907eb2ce6b173ac5b0d410aa249dc311186828d87b,caio-mac,🚲,⇜,⏢,🐜,🔳,⏿
02f5b2f4ed6ebfccc2a059180b1fb71f55b847bf61b906776ff51c921efc717828,18c2850c5c74974ad6871f666c1ca92fa9e09fe6f593dcb2e8f4e3cbe7571dcd,server-01,╲,🗕,📳,❱,❷,⇽
026c28324f16dcc211f3e7733f55586039dce32c2563a619e9f68b188713f7871e,01e3ac7ec0443f7ae9894aa54da5904b5ac1f4ee747eb97fbef02ca1064e4455,dev-machine,🔽,➚,⛌,👯,😜,🎴
02fed87fa5d7b014ce2a2b197b43e90725d525811904be97b0ebe6e0ada764d6d8,08c5f0c40d92779f1c52f99ec8558b438f6c28e5af09667f8e1a8625b1247c5d,home-server,❻,🏡,⎝,⏫,🕲,↻
