hh_pub_hex,emoji,unicode_codepoint,h,s,l
028f11439b51932a48dd75517279d6c9e533fa065b76939129ab21d1a09fee79c3,╧,U+2567,159,83,63
02b4ec689d11d174a5b0a27b154d91c134761e6339e75b0a8c40d5e62c236ef0bb,⇸,U+21F8,171,64,61
02a0d9d54dc97949c9ca27851827e710ee82371c8ed5f8018d1459666997cf4b17,╵,U+2575,293,77,62
0258b71ea62fec546a68c69a4ef8b416325b25334549544f3f3583b31055b3975c,⇜,U+21DC,117,79,61
02c93153ac12897c629a05676fd3aa3e545fdd90e596c6cee4f37d5ca8154ca305,⇗,U+21D7,262,63,61
021c85f9263eb7de143bf3a251c8c7c711cc1c45751090c6108df079c8529bef90,⌨,U+2328,264,69,54
023bff09e531678fb68c929a2efe73f983248f5e5767b32b1d46dafbff95a0ba6f,⏋,U+23CB,286,72,69
0299a9e8d2a780f53ddf5d5886704ab2619380d40135cc058ba80eafebb159bf38,⍶,U+2376,216,64,54
02f70c7f1bb1e8cd33b1836df80488ffe86c1e193bae9118fd8a8bee6897921095,⌢,U+2322,7,64,55
02a9ad72daacf523831e4ed8cc6778f65f7fab421355266cd54fbc24d6f47c617d,⍕,U+2355,257,83,50
0225a132c8fdb4a8737ab79d8f5da77e31ef78a275b67c4f411b81bd8515d19e3a,╎,U+254E,206,77,54
0232c34c1ebffc28d150564ff6a0420d35fe3bda42c1e0e8ee58900ad2f9c62418,⏸,U+23F8,281,61,54
023978849741ce8d2a5406cf1967ce2209afa7e227c8304f2b428d037fc3ae692e,╅,U+2545,303,67,56
02d31af5b35a9ed96cf60f92ab5bb91b041acc2137ec1ccc93c4628d1cd27af16d,⎇,U+2387,178,82,54
02d64354cf56d09dd2542ce47cb01263ba35eb41e531c3ede6513782f3cd132638,⍑,U+2351,228,63,56
02ed0fdac25dfac3aa230c48c99197962e66e8e39af640925eac1e9eda6fc8734c,⇕,U+21D5,41,83,53
02fb5d9e7cabad9e3ca9103f6aa63c0622f4037c11d6a52888850ddb0301f9a5ce,⏳,U+23F3,305,68,61
02da218d93b977c80b25e5963f0dfd7cd85ee0051bef42fd2bd237c6a6877691b2,⌺,U+233A,267,76,68
028e920842d331926eaff646e5ec94e34ee9e26becf57795d7d376f590100d9386,↬,U+21AC,206,69,61
024aec3dd14bd3b12f4013869776c1f2a4aeac09e9cdb305eebfda2fc6a50bf378,╺,U+257A,260,65,65
0215e2ed605ef104538304b9279fd505b1105cd89c10bef8089c52d7be08623096,ℹ,U+2139,241,70,65
025ad24cec2e4cc0b4429fc99d77e741749a9f1c22196e805556a0ded5d34d6311,⍡,U+2361,306,69,62
027b82e345557be90969885c03c7ef8938fb726fd6f99b27ca2672d23a8f694d8e,⇆,U+21C6,62,73,65
021e8d215e6457eaa617319e3de081599418ac772e6a801d39e97d3aa7e64af67f,⌚,U+231A,117,64,62
028ef3bbba4a688f1156dbd5f3651ff8c2250af1835ce11e1620a82222c10f2f66,⎕,U+2395,306,64,70
021baebcfd47a28c7f6c4ed752e69f3edd00afaf5c4fda08b5ea59f6535741cb9b,╒,U+2552,182,72,67
0205a222b8de0cb3595aeeea5bff2b6291b95a99dcee2bcce6cd47d1f6b83fc521,⇮,U+21EE,331,80,67
02759d2dd328cedbe224eb6d4d3216662d047dd38fb0907cfc4082e21e7e4a4609,⇤,U+21E4,147,73,63
02da91e8a41c7a47c185f6323ca55a7f340b5be714f0504430f2859051168ebc8f,⎶,U+23B6,221,60,55
02e70b262082959746d580baa18252cc5280a62b512c6c3d1d6bd0b28084b5805c,⌒,U+2312,214,83,51
02920b4102fe07e1d6fa9a132c52c96dcfabe3ea709b90a040944b80e962963776,⌑,U+2311,161,82,52
0207bfb9a865d705f776c5e27df24392f6ba8e8da2ea9f24bd717e21a4711a5fab,⌔,U+2314,83,67,60
0283bd75e8018668d731bbcae65351362f9dd20aea81fec1f9c26e4f72b3db4216,↩,U+21A9,240,73,59
02336ba1fa03295f96d77e905aee2b0876f881a21cbddabee61d902471bfd18cfb,⇑,U+21D1,247,69,60
025b6ba49c5f3e40d79521c01ff0c82580a6c0fc404e7a13de68d8e311b3b842f1,⏎,U+23CE,85,64,63
026ad9209e4dc449acf844850f1cbb24bf3dac1f407518ac8a54eb2a8fb2adf4f6,⌣,U+2323,296,85,57
020995212dc18e639ff24e574b6dc1daf02eb015b33a0de57f57f5abcb470da072,┐,U+2510,264,72,50
02fd4ffe66e9f00fc766aaa69588eeb4b0761b6e1c61b53e2619f03824986a4bf6,⏖,U+23D6,147,67,58
02f93e0e7ba5b13c50fa2758ab6ff0870435a1ac31ccc1856b536036e978607034,⍹,U+2379,70,66,63
02ddf8825d51065995850a1cf5332daa7bcf36532f9ff256fd4a045da362e392a4,⇚,U+21DA,205,81,63
02d8d8f03ea431354d3c7ab14f0260acc329b004b7499f1693a846ee5bc57d99c9,↕,U+2195,288,84,59
02ffd6df0b6c415f21813a52c0b96b15d3cd825a777e32ea7619a154214f25d94f,⏛,U+23DB,148,67,54
02af8e27c292028c21529d944d606637025355eca2a9f1de773f030d605e5fe77b,⍿,U+237F,288,76,69
02b03ec5c91f96554119d468c3914f57af82ab10c3de65787d69cd1a708ebedc7d,⍪,U+236A,306,84,57
026d430b4a3384d774d25d8fa166235593cfa869282aa55f1b9960daeb3b73ed45,╳,U+2573,104,72,68
028e8e241b0b27a730cdc241ee43a32b6fcbae989881aa8a7772465937a8dfe1cc,⏳,U+23F3,137,72,61
02f1bc89a0d5e22c251a98d5654b4b51f2aff5ca28d087d83cb75907192ae43f8a,⏓,U+23D3,147,77,65
025bcb8d1b62b5f0dd0cdd57d09a83ffbb171d1b3051cc4aeeef4b17aa54d28572,⎖,U+2396,62,62,55
0219b4c248be5349a6d3099344fd788e5b2e3c00d3b6bab6083fc45c2ff86a3424,⍊,U+234A,168,73,70
020197c620f333c7ec6cb295b6b8c56fe01d92cabda02a9560096420bbd88984d5,┟,U+251F,72,82,55
025e572f89eed8dc929017094c4f84c1a3e9beb72935fe6540290329e1f4d62ba8,╕,U+2555,326,67,67
02105d4572b49139e12abffdfbdc799887eac7be4e735600d1f3960beb51bff532,⇨,U+21E8,43,72,69
02b641a6828f24c9d2450aa32033a67c658c66700325e0fca07132550a768c85f0,⇽,U+21FD,108,82,50
025b3d19d767b864ba3304046d5e686aa3405cc0540a932a15b59e3aa0d8595fef,⍬,U+236C,113,84,66
02706a8ff18c528230662b99ff78821e4dde8057a91c0e7ece6783ecaf570f1263,⎿,U+23BF,43,61,55
026108dac945cb1dd1b3100fe4f6bd8bfbbc5bf04028dcfc49159b84578f5fc5ee,⍬,U+236C,216,79,57
0266f6dbb97ab9e17f3450387db4d10146a1034e0b10bbaab43a1cbccf5f7cf2ea,⌣,U+2323,322,64,55
02cd7cee1207978a1cd398041ed3fb7d0826cea8db461bb177b03736d8b6935933,⎖,U+2396,192,76,63
027269c262d1acc66e4d40238ad5f0a4277cd301932c98de2d230d6d2f55299b2b,⇉,U+21C9,141,64,68
024e37b2336bf4dee9191b02c67aa58e959917144ecb0b0d5afe786c32b71ce53f,┑,U+2511,83,64,67
02757d4c84d39bf35baf4c399adbad77d3eaa538245fb4b42ad046bd4b2a205591,⇅,U+21C5,106,62,50
02e1beac286a6821af6d01428dbc8ca2d7d61634911c501ae6198137bd137335ed,⎚,U+239A,121,61,63
025d8523dd8956c666052141001687e5f644199b1b646ecd1469e35e6cc448c56c,⎙,U+2399,35,70,63
025b2aaa2a2c474c0e3d6b938814cbe6546cd0784c98dad7113426d8133b4705af,⍥,U+2365,48,74,61
02ca8d9e75484c174ccbcce162e73532506e9d92e716a724b28ed36e7dddc3e0f1,⌛,U+231B,305,66,66
026061c47a7f5edd067ce91843173ffedcae1d59fed91db6f09f8e820922ebc087,⍼,U+237C,263,81,57
02de2a51323371cc03a9a499a940239516ed65c68c1f91e06b893c13959122e35f,⍏,U+234F,61,64,61
02e15da69c2343baf6359d0ace21450a37a918cd6e2602b769cd546f7efa81c6b0,⌤,U+2324,269,75,62
02b31e02820ec783e81f4820f043b42420c69c69deb54429ae472eaa9521757ba4,┌,U+250C,284,80,70
028a3cdfb52a95f47e296d11a4504421cdfb7aa4b431fce7616686beb335e00843,⌍,U+230D,336,81,61
02da898041a845305d08aa5ded214279528df8d885f38f9399351c2188ed91f480,⌄,U+2304,132,79,56
020f98972df774a788ede8f70c004da8704d90e9f8dd42c2e84cb30936053a76b5,⇷,U+21F7,10,69,63
02c1cf23d27ab83d1879a60df4db82797e710f33a82dbb61ba5fb254306d54bfba,⇙,U+21D9,114,69,70
024c62ebcf4f2aba9d7126346bf9c55f45ddae44dedb4d1b13134b78a64fa434b9,⇶,U+21F6,227,79,57
02feec60668d52eb26b26f8a211f0951519532f1762b833c69923b3c169e29aa48,╚,U+255A,338,68,62
0222822f4367089394dd87104c2e71b04877746681d3fb7d6a5e5ee0f7e9acdb5c,⎱,U+23B1,330,69,53
0298281d863d32df9fc6e0e4a8966d07915804789427864d6a6900057e482d0e4c,╢,U+2562,255,85,54
02145d9c8125511f33133180ac0f7b3c9ffa98f5c7d0b34b216f70f98f3f19869d,⌫,U+232B,165,76,50
02fcb445c2910e1b3318ceab592d0194df532c99a4d332dc4790f260e0aa8153ce,⏃,U+23C3,233,64,66
0237c07d4182bc9d99cbb4de2a9fb810ed431ff52b4e40ed1b9c5eaa733f16b570,↪,U+21AA,181,84,53
0248d60277fcfa55dc92d439332b70ef732f7a5a02d124285b657b4a49bc7f57f7,⇠,U+21E0,102,78,63
026f898eec740836550d5b81f8e112f48c4789d6405a2674f09e53a84e2c4e705b,⌖,U+2316,294,77,57
02f0c163fb9b253a15b332de53606c6e5acf5f8aee529267157507ba6934afd55e,┋,U+250B,97,60,52
0277fb45db79e43cbe8f4c196132f7b7cdef71445bb048b8a939efa787adeed7b2,⎵,U+23B5,10,81,51
020bf41571bca2f15b0fca2b1a29061657ed0e02937fd4bd4d62a0d945e347ee0c,⌌,U+230C,233,60,51
0232234e73c98a800f4174849ca2a25636978f2e0cab5411b2121fc74362ee02b4,╹,U+2579,146,60,55
02881b46b40c742496e63036a41c39e700d0a7001aee414dd1a90a1372f9a5cd72,⌰,U+2330,308,74,53
02102db417e967b661fb0f166f1849df7345b7f4ec58bfc6ec9639eab5651c7474,⍉,U+2349,269,65,54
02d00421781eed658d25839c49c13445c5b9ff1212d86184118bb32094dfec39b6,╬,U+256C,349,72,59
02719669a13e50cfac1f1e02e740df9e68beaf4ea07778b8eff86802df2e176d92,↠,U+21A0,42,78,70
0234283cac64f97fd9ba86cfe0eca567e214ba5027733c0e675d75cc015f22b633,╭,U+256D,162,66,70
02a9648a7afc92447f7f9a3848dc1a00eaadfe093c9fa07e4ade2fb9eb598e888a,╦,U+2566,81,63,65
0237336e7f540c45be47e65cd4b1400fadc1d0de5eda74d58d03b4bfb7c5325a02,⌜,U+231C,53,72,51
02dcf84e1fd6317a71930cd7859777b094a1ba3ab492828ce9b4f7fbe527fcd2ab,┮,U+252E,31,67,64
02f3c7e370f13f9fd98b138c8861d6866c6d2b62f853614404d7911ac30d5d8954,⇀,U+21C0,105,84,63
02669081d0753a89a8ad3310df855f6974bc04d4799cd0d8d6cd588432710e000c,⇀,U+21C0,211,69,56
0235e8933dd3c60d9de20ef3fb91e97ee06b5a5eb6eb0eecd7ac6bedd38d92c768,⎐,U+2390,263,84,57
028192efe192c837114fddc6edd0486d6fb196463ed65554d6941ef35e041751d5,⏸,U+23F8,73,68,51
028fb7400dcdf1ae814b6126a1a98e36c759b52738bfd414fbb2b94f91c546e484,⌰,U+2330,137,61,53
02a62ae17b317ea46f5e4f415dddda6cff66de043f7a85389902ef9f3a81efa4bd,⎗,U+2397,179,75,61
02ee0e747ae877b257a6b39d3cf65ced1f8c76d87830f92d5baeba4b2fa9a81818,⍚,U+235A,302,77,68
028fa79f3ec497c6d6c97a4f83897545f1053214c4867703333873981877d4d4b6,⎡,U+23A1,115,81,64
02dd3803ed33fbb07b81fd13ea1f023293a462278f9ad0c8ab2449c48af325f5ed,↾,U+21BE,28,64,65
02db7989200fe294aae81060a49244c27aed0d5e3a25faad9a05f48ae0582665af,↴,U+21B4,158,71,50
02c4c12fa2005d5ea2b20421ef767c28e60fad3847d1e0d81430f5b9cc81495703,⍽,U+237D,147,65,66
0226bf494680719b229c1b0b6f56c85f6d218e6304aca2420ef005dcbb4a86ae1c,⍩,U+2369,268,82,55
02ddd66e2f0e67a73d48899aff8418a8aa75af9b02813c9f4f813f8a6fec3fcf87,⌭,U+232D,210,80,60
0230265b0b044379a79045ac12ef5536a2e1fd645d031a731f142e49e85074d1d5,⇓,U+21D3,50,65,54
02ca92a62aeeb1ce975a3cca7a661943c0051d43f7eb2720275a36ebc1fcc993b3,⇺,U+21FA,22,73,58
029ab1694e2b0679af368d25c4974d9db3dd14bfc45f642afd8d1c9acc9aa9c1a1,┃,U+2503,219,64,60
02d3e91bd15eb410a922b369f44a6db5f72672c7cd2bd7da1eb95b6213e3eb0853,┚,U+251A,250,71,58
0202a9e969ee06a140cf0ddbaa15681e961efb551adaca51fcb41fae7b53e5dee9,←,U+2190,42,63,64
02522b6e833f58df696e56fe4170fc48379ee0ac20b12cf7c08b4cf4be99a16ce5,┽,U+253D,326,79,62
029e555a73755fd768611f2e76dceac5ab977633ef7f2f65a1d9dd6a7490ec199c,┹,U+2539,253,77,53
025d347cfcb61be6c9d094add038c11c645dc22b9f3a8bf35d79132b841bf2117d,⎨,U+23A8,65,67,66
02a50d9d62b7e1390bf6712f48cd669f871df33dd96cb2eadbad54bd9e7d58da18,⏶,U+23F6,82,62,61
